Site_No,old_Site_No,Site,Eastings,Northings,Region,Area,Cattle_Pop,Pig_Pop,Poultry_Pop,Human_Pop,Sheep_Pop,Slope,Applied_Manure,Applied_Slurry,Grazing_Manure,CSOs,STWs,SPR,Agg01,Agg02,Agg03,Agg04,Agg05,Agg06,Agg07,Agg08,Agg09,Agg10,N:S_facing,Elevation
1,15,River_Deveron_TurriffMuiresk,370471.7778,849795.8266,Scotland,960.5317105,45.96104721,8.898973887,301.4224033,69.69433962,109.4695211,5.787173014,,,,1,0,35.74586387,5.265968586,17.03769634,17.28272251,33.54973822,9.092146597,16.74659686,0,0.132984293,0,0.964397906,1.091674455,243.1146826
2,45,River_Ugie_Forehill,410730.8176,848392.2802,Scotland,341.3216308,75.8679272,23.33278571,2290.453883,60.40723982,130.6065326,2.486221174,,,,1,0,33.66725664,5.345132743,3.466076696,40.84365782,42.09734513,0,5.899705015,0,0.126843658,0,2.274336283,1.071889383,85.36646533
3,14,River_Deveron_CairnfordBridgeHuntly,348721.6904,840676.142,Scotland,213.7380864,18.63033042,2.399478055,77.93011269,38.72727273,65.15718008,7.32576234,,,,0,0,43.46824645,1.218009479,11.79620853,0.644549763,8.625592417,22.82464455,54.83886256,0,0.009478673,0,0.08056872,1.368807407,393.9095629
4,2,Allt_a_Choire_Burn_Tomnavoulin,321326.3757,826085.6459,Scotland,6.789336653,21.33851178,0.998974408,119.7999115,43.76851852,80.71189626,9.272845363,,,,0,0,35.6,1.166666667,16.5,0,4.666666667,35,42.66666667,0,0,0,0,1.188043478,386.9922625
5,11,River_Dee_Invercannie,366776.9754,796325.9705,Scotland,1389.528816,8.304650784,0.048233834,29.02641635,97.94505495,23.08797761,10.59667807,,,,2,0,40.27194767,2.507267442,14.05087209,2.154069767,7.353197674,4.872819767,68.21148256,0,0.527616279,0,0.349563953,0.987420101,509.8411981
6,36,River_Tay_Perth,310351.5698,726599.9235,Scotland,4716.477184,7.64371457,2.705600659,728.1289478,88.31339031,38.63896106,9.258075217,,,,10,0,40.82601107,4.366751809,10.77096637,8.837590464,10.92252022,27.41677309,34.43593018,0,2.598339719,0,0.670072371,0.886255675,399.1465399
7,48,River_Wear_Lumley,428590.6085,550212.1025,North East,1008.563554,36.52145005,23.95849909,477.8658951,423.4860335,122.1721779,4.806731761,17915821.09,14580595.36,51150238.18,278,21,42.8536,5.851,4.038,14.171,43.634,4.643,21.293,0,0.162,0,6.256,1.018667427,248.8040421
8,20,River_Gelt,353661.9316,556594.9159,North West,49.24966938,51.12675951,5.380106856,779.1506354,59.2,120.0624376,7.876948704,14003329.54,20300985.02,59195919.87,2,0,55.57234043,2.468085106,0.574468085,0.85106383,10.5106383,19.9787234,64.89361702,0,0.446808511,0,0.361702128,1.314445331,381.2373278
9,17,River_Eden,347281.7517,553277.2953,North West,1366.049606,59.60477728,4.611747446,1048.687429,80.1133829,179.2471189,7.084514571,16571649.43,27281258.79,69296364.86,74,3,35.30388848,5.095377843,1.03595011,6.239911959,48.49303008,25.0484226,11.20689655,0,1.201027146,0,1.704328687,1.224300005,285.380784
10,16,River_Duddon,320912.5393,494740.918,North West,46.87822481,11.92918953,0.341951786,21.89855864,9.5,97.82967543,14.29821642,6224679.045,9647367.286,45080150.75,0,0,59.62444444,3.777777778,8.222222222,0.177777778,6.8,79.22222222,1.2,0,0.577777778,0,0.022222222,0.777980219,373.8368109
11,10,River_Dee_3,341401.7664,363354.2555,North West,1786.192849,69.39144302,7.658266465,1813.439707,261.3151659,173.6959003,6.400391354,21987908.37,40011760,79137473.47,154,74,36.79610829,5.151720248,7.620417372,7.151720248,42.12746757,22.24252679,11.03891709,0,1.108291032,0,3.602368866,1.186453529,243.6931402
12,9,River_Dee_2,340789.4981,359106.3115,North West,1661.434781,63.36811424,6.499628391,1674.819959,289.9918589,183.886797,6.749783341,21987908.37,40011760,79137473.47,148,73,36.70780399,5.191772535,8.172413793,6.144585602,40.72595281,23.138536,11.83968542,0,1.154264973,0,3.679975802,1.174015804,258.7358471
13,18,River_Esk_Whitby,489091.4172,509097.2015,Yorkshire and The Humber,331.7068631,39.56816314,22.49720337,519.464187,85,90.86574805,5.976323962,14577423,20628458.25,47956240,24,0,49.54689441,4.782608696,6.357142857,1.251552795,34.68322981,0.357142857,51.9068323,0,0.01242236,0,0.729813665,1.211953642,219.7014993
